,Feeder Name,Feeder Head Node,Substation Name,Medium Voltage Length (miles),Three Phase Medium Voltage Length (miles),Three Phase Overhead Medium Voltage Length (miles),Two Phase Medium Voltage Length (miles),Two Phase Overhead Medium Voltage Length (miles),Single Phase Medium Voltage Length (miles),Single Phase Overhead Medium Voltage Length (miles),Overhead Percentage of Medium Voltage Line Miles,Ratio of Medium Voltage Lines to Number of Customers,Maximum Node Distance From Substation (miles),Nominal Voltage of Source (kV),Low Voltage Length (miles),Three Phase Low Voltage Length (miles),Three Phase Overhead Low Voltage Length (miles),Two Phase Low Voltage Length (miles),Two Phase Overhead Low Voltage Length (miles),Single Phase Low Voltage Length (miles),Single Phase Overhead Low Voltage Length (miles),Maximum Line Length From Transformer to Load (miles),Overhead Percentage of Low Voltage Line Miles,Ratio of Low Voltage Lines to Number of Customers,Number of Voltage Regulators,Number of Capacitors,Average Regulator Distance From Substation (miles),Average Capacitor Distance From Substation (miles),Number of Fuses,Number of Reclosers,Average Recloser Distance From Substation (miles),Number of Breakers,Number of Switches,Number of Lines Connected to Adjacent Feeder,Number of Closed Loops,Number of Transformers,Total Transformer Capacity (MVA),Number of Single Phase Transformers,Number of Three Phase Transformers,Ratio of Single Phase Transformers to Three Phase Transformers,Total Peak Planning Load (MW),Total Phase A Peak Planning Load (MW),Total Phase B Peak Planning Load (MW),Total Phase C Peak Planning Load (MW),Total Reactive Peak Planning Load (MVar),Percentage of Low Voltage Peak Planning Load on Phase A,Percentage of Low Voltage Peak Planning Load on Phase B,Percentage of Low Voltage Peak Planning Load on Phase C,Number of Single Phase Low Voltage Loads,Number of Three Phase Low Voltage Loads,Number of Medium Voltage Loads,Total Medium Voltage Peak Planning Load (MW),Average Number of Loads per Transformer,Average Peak Planning Load Power Factor,Average Peak Planning Load Imbalance by Phase,Total Number of Customers,Number of Customers per Square Mile of Feeder Convex Hull,Total Peak Planning Load (MW) per Square Mile of Feeder Convex Hull,Total Reactive Peak Planning Load (MVar) per Square Mile of Feeder Convex Hull,Total Transformer Capacity (MVA) per Square Mile of Feeder Convex Hull,Average Node Degree,Average Shortest Path Length,Diameter (Maximum Eccentricity),Number of PVs,Total PV Capacity (MW),Number of PVs with Volt-Var Control,Total Capacity of PVs with Volt-Var Control (MW),Number of PVs with Volt-Watt and Volt-Var Control,Total Capacity of PVs with Volt-Watt Volt-Var Control (MW),Number of Batteries,Total Capacity of Batteries (MW),Average Year of Building Construction,Average Land Value (USD per Square Foot),Percentage of Rural Customers,Percentage of Urban Customers,Percentage of Residential Customers,Percentage of Commercial Customers,Percentage of Industrial Customers,County,Line Configuration
10,p1uhs14_1247--p1udt9467,p1udt9467-p1uhs14_1247x,p1uhs14_1247,21.4466,11.8043,10.2475,0.0,0.0,9.6423,1.7949,29.2904,0.0164,2.1318,12.47,19.6672,1.1758,0.0,0.0,0.0,18.4914,3.7038,0.0756,9.0087,0.01501309479921143,0,4,,1.3069,54,0,,0,573,1,0,556,37.6,446,110,4.0545,15.9021,5.3219717091000005,5.378742206100001,5.2014019869000006,3.2478,33.4671,33.8241,32.7089,1181,128,1,1.3889,2.3519,0.9798,0.3605,1310.0,48298019112.3844,586291635.3301,119741240.0456,1386263754676.0679,1.9995,61.9958,180,0,0.0,0,0.0,0,0.0,0,0.0,1984.0,2074.8259783202757,0.0,100.0,98.6118,1.14031,0.247893,Travis,delta-wye
11,p1uhs14_1247--p1udt21168,p1udt21168-p1uhs14_1247x,p1uhs14_1247,12.6771,10.0522,8.7326,0.0,0.0,2.625,1.548,61.8718,0.0405,2.7321,12.47,3.9388,0.9379,0.0,0.0,0.0,3.0009,0.862,0.0719,5.1876,0.012584126450897857,0,2,,1.8719,24,0,,0,149,1,0,213,22.65,115,98,1.1735,9.8716,3.2810533068,3.2682794564000006,3.3222771084,2.0694,33.2373,33.1079,33.6549,202,110,1,1.3924,1.4626,0.9788,0.1124,313.0,10858525223.227,342464465.2013,71791106.1277,785768678294.2236,1.9980000000000002,37.0352,102,0,0.0,0,0.0,0,0.0,0,0.0,1987.0,2112.2317313603626,0.0,100.0,91.1275,7.67098,1.20148,Travis,delta-wye
12,p1uhs17_1247--p1udt19976,p1udt19976-p1uhs17_1247x,p1uhs17_1247,17.9849,10.2888,8.9235,0.0,0.0,7.6962,2.8116,35.3815,0.019,2.8824,12.47,15.1825,0.8193,0.0,0.0,0.0,14.3632,4.8522,0.0752,14.6293,0.016032222185910373,0,3,,1.7147,33,0,,0,431,2,0,442,26.875,360,82,4.3902,11.3974,3.9075643978,3.7567995906,3.7330360116000003,2.3158,34.2847,32.9619,32.7534,859,87,1,0.9425,2.1377,0.9799,0.3512,947.0,23328611012.0701,280766166.7432,57048726.4137,662044795089.1049,1.9992,58.1261,138,0,0.0,0,0.0,0,0.0,0,0.0,1990.0,1480.104912887507,0.0,100.0,98.5124,1.35537,0.132231,Travis,delta-wye
13,p1uhs17_1247--p1udt21587,p1udt21587-p1uhs17_1247x,p1uhs17_1247,7.2813,6.2257,5.1793,0.0,0.0,1.0556,0.6248,53.9446,0.0281,2.4619,12.47,3.4781,0.7367,0.0,0.0,0.0,2.7414,0.9967,0.0683,9.2634,0.013428814522172938,0,1,,2.0346,12,0,,0,95,1,0,132,14.55,79,53,1.4906,6.8737,2.1727628225999998,2.154011369,2.5469258084,1.3986,31.6098,31.337,37.0532,192,66,1,1.4233,1.9474,0.9799,0.1465,259.0,12024916032.2321,319131681.2767,64934566.1324,675530997177.5192,1.9972,41.1344,107,0,0.0,0,0.0,0,0.0,0,0.0,1987.0,2747.8448824918514,0.0,100.0,97.6632,2.25624,0.0805802,Travis,delta-wye
14,p1uhs1_1247--p1udt138,p1udt138-p1uhs1_1247x,p1uhs1_1247,26.2456,18.6407,16.5611,0.0,0.0,7.6049,5.0045,53.6216,0.0265,3.1029,12.47,13.9726,1.5145,0.0,0.0,0.0,12.4581,3.7966,0.0753,9.44,0.014113707434165996,0,4,,1.9969,43,0,,0,340,1,0,408,37.685,275,133,2.0677,17.0015,5.634263097000001,5.6327159605,5.7345209425000006,4.0902,33.1398,33.1307,33.7295,840,148,2,2.1334,2.4205,0.9781,0.214,990.0,21453300707.5045,368422391.5725,88633998.2699,816633976931.6234,1.9992,63.8073,148,0,0.0,0,0.0,0,0.0,0,0.0,1995.0,2444.992574703029,0.0,100.0,96.6953,1.28883,2.01586,Travis,delta-wye
15,p1uhs20_1247--p1udt16446,p1udt16446-p1uhs20_1247x,p1uhs20_1247,13.7177,4.6229,2.0386,0.0,0.0,9.0948,2.8033,15.6554,0.0118,3.2828,12.47,17.2103,0.0373,0.0,0.0,0.0,17.173,1.7298,0.07400000000000001,5.5929,0.014862072627295244,0,2,,1.7734,41,0,,0,570,1,0,342,17.875,339,3,113.0,7.3904,2.3785337263999997,2.5701889696,2.441677304,1.5201,32.1841,34.7774,33.0385,1154,4,0,0.0,3.3761,0.9796,0.6505,1158.0,47136840135.7262,300828037.488,61877636.4142,727608823338.6053,1.9993,72.5815,194,0,0.0,0,0.0,0,0.0,0,0.0,1998.0,95.00302857306959,0.0,100.0,98.9286,0.204082,0.867347,Travis,delta-wye
16,p1uhs1_1247--p1udt10929,p1udt10929-p1uhs1_1247x,p1uhs1_1247,6.0105,3.8667,3.2637,0.0,0.0,2.1438,0.2467,33.5505,0.0162,2.0877,12.47,4.4525,0.1787,0.0,0.0,0.0,4.2738,0.1152,0.073,1.101,0.012033714061143423,0,0,,,8,0,,0,176,1,0,103,12.025,90,13,6.9231,4.7453,1.5720894182,1.6411525143999999,1.5320580674000002,1.2986,33.1294,34.5848,32.2858,356,14,0,0.0,3.5922,0.9786,0.2923,370.0,22751991821.3,291797106.08599997,79855186.9168,739439734192.2498,1.9977,44.3248,112,0,0.0,0,0.0,0,0.0,0,0.0,1998.0,164.19089066141373,0.0,100.0,96.5184,0.193424,3.2882,Travis,delta-wye
17,p1uhs1_1247--p1udt14149,p1udt14149-p1uhs1_1247x,p1uhs1_1247,11.1754,4.9964,2.0449,0.0,0.0,6.1791,1.136,11.8248,0.0103,2.4396,12.47,15.7249,0.2447,0.0,0.0,0.0,15.4801,1.4059,0.0689,5.2264,0.014519718068267882,0,1,,1.8014,36,0,,0,568,1,0,349,20.2,327,22,14.8636,8.0624,2.7406355072000004,2.6227632192,2.6990012736,1.7571,33.9928,32.5308,33.4764,1060,23,0,0.0,3.1032,0.9796,0.5537,1083.0,48339160639.6063,359859382.6444,78427551.669,901616846648.2428,1.9993,95.0623,237,0,0.0,0,0.0,0,0.0,0,0.0,1991.0,226.10608464070927,0.0,100.0,99.0089,0.346878,0.644202,Travis,delta-wye
18,p1uhs8_1247--p1udt2544,p1udt2544-p1uhs8_1247x,p1uhs8_1247,18.4431,10.7747,6.9144,0.0,0.0,7.6683,2.1662,25.814,0.0167,2.1455,12.47,16.7338,0.6912,0.0,0.0,0.0,16.0426,1.5075,0.0817,4.2855,0.015116341297609269,0,1,,1.186,40,0,,0,623,3,0,398,23.825,345,53,6.5094,10.3202,3.4194744276,3.4238089116,3.4769166607999997,2.2972,33.1338,33.1758,33.6904,1050,56,1,0.9501,2.7744,0.977,0.40700000000000003,1107.0,44921220867.285995,418785982.8006,93217337.936,966800440075.0548,1.9994,80.821,234,0,0.0,0,0.0,0,0.0,0,0.0,1992.0,132.67861177318315,0.0,100.0,88.1967,4.65574,7.1475399999999985,Travis,delta-wye
19,p1uhs8_1247--p1udt22258,p1udt22258-p1uhs8_1247x,p1uhs8_1247,22.154,15.0803,11.8985,0.0,0.0,7.0737,2.6994,34.8463,0.0182,2.5483,12.47,19.7381,1.7069999999999999,0.0,0.0,0.0,18.0311,5.3697,0.106,12.818,0.016258767149581417,0,2,,1.5471,60,0,,0,482,0,0,517,34.025,412,105,3.9238,13.0071,4.2404966994,4.387021680899998,4.3795686126,3.0639,32.6014,33.7279,33.6706,1090,124,0,0.0,2.3482,0.9763,0.3743,1214.0,35517492665.1363,380542698.3387,89638757.6633,995455261887.3612,1.9994,64.2741,174,0,0.0,0,0.0,0,0.0,0,0.0,1993.0,1194.9120583617535,0.0,100.0,92.9372,1.93548,5.1273300000000015,Travis,delta-wye
20,p1uhs20_1247--p1udt10621,p1udt10621-p1uhs20_1247x,p1uhs20_1247,22.6559,8.1999,4.1195,0.0,0.0,14.4561,5.1624,19.6798,0.0132,4.0636,12.47,24.5085,0.3938,0.0,0.0,0.0,24.1147,4.0756,0.0812,8.6413,0.014249109021416784,0,1,,3.1639,54,0,,0,834,3,1,558,30.95,538,20,26.9,12.3768,4.358391105599999,3.9430256976,4.0753831968,2.5534,35.2142,31.8582,32.9276,1694,26,0,0.0,3.088,0.9795,0.5705,1720.0,41986272238.7089,302126458.7551,62330783.1726,755508794062.8116,2.0,81.9818,265,0,0.0,0,0.0,0,0.0,0,0.0,1998.0,137.60559303307852,0.0,100.0,98.4984,0.543131,0.958466,Travis,delta-wye
21,p1uhs21_1247--p1udt11662,p1udt11662-p1uhs21_1247x,p1uhs21_1247,16.9259,4.8852,1.6484,0.0,0.0,12.0407,6.2142,23.6795,0.0166,4.2025,12.47,16.2783,0.4748,0.0,0.0,0.0,15.8035,3.1096,0.1288,9.3651,0.015943495413542456,0,2,,2.8081,35,0,,0,545,0,0,356,17.775,338,18,18.7778,7.0532,2.4327826908000003,2.2854907152,2.334926594000001,1.4723,34.4919,32.4036,33.1045,999,22,0,0.0,2.852,0.9786,0.5935,1021.0,25047360032.9501,173030655.9264,36119459.1343,436059573541.3199,1.9993,82.71700000000001,234,0,0.0,0,0.0,0,0.0,0,0.0,1999.0,164.1796205928477,0.0,100.0,96.1476,1.19371,2.65871,Travis,delta-wye
22,p1uhs21_1247--p1udt16206,p1udt16206-p1uhs21_1247x,p1uhs21_1247,9.2342,4.4522,3.6514,0.0,0.0,4.782,1.9144,33.9064,0.0196,3.7862,12.47,7.181,0.0985,0.0,0.0,0.0,7.0825,2.195,0.0766,13.372,0.015246301757805343,0,1,,3.3574,29,0,,0,246,1,0,200,9.8,189,11,17.1818,3.8036,1.2411413052,1.2679528815999999,1.2945020096,0.7787,32.6307,33.3356,34.0336,460,11,0,0.0,2.355,0.9790000000000001,0.5714,471.0,16172686570.8878,130603813.5737,26737951.0243,336501758799.7894,1.9985,58.8539,158,0,0.0,0,0.0,0,0.0,0,0.0,2001.0,112.92861822288953,0.0,100.0,97.0845,1.45773,1.45773,Travis,delta-wye
23,p1uhs21_1247--p1udt20780,p1udt20780-p1uhs21_1247x,p1uhs21_1247,29.6991,11.6827,8.5094,0.0,0.0,18.0164,10.4213,34.67,0.0199,3.8139,12.47,24.9036,0.1449,0.0,0.0,0.0,24.7588,8.591000000000001,0.0769,15.7336,0.016646810750496368,0,3,,2.0589,55,0,,0,704,2,1,600,28.275,590,10,59.0,10.9071,3.6092357397,3.6220188609,3.6758453994,2.2384,33.0907,33.2079,33.7014,1485,11,0,0.0,2.5017,0.9795,0.6213,1496.0,31282376688.1651,228075479.2327,46807160.7701,591249465814.0784,2.0,91.4166,289,0,0.0,0,0.0,0,0.0,0,0.0,2001.0,110.00111739517887,0.0,100.0,98.7037,0.524691,0.771605,Travis,delta-wye
24,p1uhs16_1247--p1udt7988,p1udt7988-p1uhs16_1247x,p1uhs16_1247,12.2598,3.9146,0.6324,0.0,0.0,8.3452,4.6821,22.4679,0.019,4.9525,12.47,11.3942,0.068,0.0,0.0,0.0,11.3262,3.3469,0.0758,14.1496,0.017692826742100137,0,0,,,24,0,,0,342,0,0,252,10.8,250,2,125.0,4.1173,1.1964009167,1.5620377431999999,1.3588613400999998,0.8466,29.0579,37.9384,33.0037,641,3,0,0.0,2.5556,0.9788,0.6533,644.0,17047753338.8349,108990501.3051,22410407.9528,285894000092.2628,1.9989,77.8597,203,0,0.0,0,0.0,0,0.0,0,0.0,2000.0,113.20011757069952,0.0,100.0,97.4769,0.336417,2.18671,Travis,delta-wye
25,p1uhs20_1247--p1udt1456,p1udt1456-p1uhs20_1247x,p1uhs20_1247,19.4413,7.6653,5.6231,0.0,0.0,11.7761,5.1405,28.9455,0.0164,4.198,12.47,17.7447,0.2248,0.0,0.0,0.0,17.5199,4.0062,0.1021,10.7734,0.015012471164289656,0,2,,2.2391,43,0,,0,524,1,0,400,20.825,381,19,20.0526,8.3205,2.7831323655,2.7776408355,2.759726799,1.7309999999999999,33.4491,33.3831,33.1678,1162,20,0,0.0,2.955,0.9798,0.5876,1182.0,36431176983.6862,256449994.9288,53350922.8527,641860626637.2788,1.9994,87.2374,206,0,0.0,0,0.0,0,0.0,0,0.0,2002.0,129.46170749746412,0.0,100.0,98.8444,0.755556,0.4,Travis,delta-wye
26,p1uhs12_1247--p1udt23696,p1udt23696-p1uhs12_1247x,p1uhs12_1247,6.8184,3.3434,2.2843,0.0,0.0,3.4751,0.1929,17.4063,0.0141,3.2483,12.47,7.4132,0.0424,0.0,0.0,0.0,7.3708,0.2441,0.0704,1.7154,0.015316605734550943,0,0,,,11,0,,0,306,0,0,159,8.3,158,1,158.0,3.3359,1.1674615870999998,0.986358912,1.1820795009,0.6832,34.9969,29.568,35.4351,483,1,0,0.0,3.0439999999999996,0.9798,0.6584,484.0,14286588560.648,98468937.0129,20165881.359,244997283168.137,1.9985,56.1529,148,0,0.0,0,0.0,0,0.0,0,0.0,2005.0,108.16471835792773,0.0,100.0,99.7159,0.0,0.284091,Travis,delta-wye
27,p1uhs12_1247--p1udt11164,p1udt11164-p1uhs12_1247x,p1uhs12_1247,11.565999999999999,5.0757,3.9633,0.0,0.0,6.4903,4.3176,39.3054,0.0192,4.1236,12.47,9.5022,0.156,0.0,0.0,0.0,9.3461,4.7086,0.0787,22.3493,0.01575814334764349,0,1,,3.6689,27,0,,0,204,1,0,254,11.725,244,10,24.4,4.4356,1.4737680203999999,1.4597648312000002,1.5020671484,0.9062,33.2259,32.9102,33.8639,593,10,0,0.0,2.374,0.9795,0.5522,603.0,18462847095.7433,135809544.283,27746862.2374,358999804639.4534,1.9988,57.3014,182,0,0.0,0,0.0,0,0.0,0,0.0,2001.0,221.2253035879589,0.0,100.0,97.5524,1.57343,0.8741260000000001,Travis,delta-wye
28,p1uhs20_1247--p1udt2578,p1udt2578-p1uhs20_1247x,p1uhs20_1247,12.4788,2.8435,0.6378,0.0,0.0,9.6353,1.2455,6.0301,0.0088,1.9656,12.47,18.7533,0.0,0.0,0.0,0.0,18.7533,0.9182,0.0655,2.94,0.013272008320685143,0,1,,1.3835,40,0,,0,742,0,0,415,21.175,415,0,0.0,8.8413,2.7610672596,3.0960110687999998,2.9842216716000003,1.7957,31.2292,35.0176,33.7532,1413,0,0,0.0,3.4048,0.98,0.6667,1413.0,73233038034.2025,458228831.0387,93066580.5425,1097459009465.1342,1.9995,84.7005,212,0,0.0,0,0.0,0,0.0,0,0.0,1999.0,95.89244265729087,0.0,100.0,99.917,0.041511,0.041511,Travis,delta-wye
29,p1uhs8_1247--p1udt4671,p1udt4671-p1uhs8_1247x,p1uhs8_1247,15.0601,8.149,6.5714,0.0,0.0,6.9111,2.2673,31.1382,0.0192,2.5021,12.47,13.3254,1.0096,0.0,0.0,0.0,12.3158,2.6260000000000003,0.0709,9.2512,0.01701840918208738,0,2,,1.6444,29,0,,0,428,1,0,347,21.725,275,72,3.8194,9.697000000000001,3.3565680649999994,3.169803845,3.17062809,2.0554,34.6145,32.6885,32.696999999999996,700,82,1,1.3994,2.25,0.9790000000000001,0.3152,783.0,30817039803.9147,381650037.9086,80895119.5619,855044942196.7377,1.9991,58.8898,186,0,0.0,0,0.0,0,0.0,0,0.0,1991.0,1031.032199456184,0.0,100.0,95.494,3.09446,1.41151,Travis,delta-wye
